                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6251,                 1.6632,                0.97225,                0.28154,                0.19062,                0.16622,                0.09012,                 1.5918,                 1.2149,                0.91704,              0.0033251,              0.0033251,              0.0033251
                      2,                 1.5859,                  1.224,                0.92592,                0.31694,                0.22645,                 0.2021,                0.11077,                 1.5658,                 1.1395,                0.90027,              0.0065925,              0.0065925,              0.0065925
                      3,                 1.6537,                 1.2355,                0.93202,                0.29493,                0.21511,                0.18776,                0.10054,                 1.6376,                 1.1786,                0.91359,              0.0097939,              0.0097939,              0.0097939
                      4,                 1.6503,                 1.2217,                0.93277,                0.31584,                0.20853,                  0.191,                0.09876,                 1.6611,                 1.1893,                0.92049,               0.009703,               0.009703,               0.009703
                      5,                 1.6086,                 1.1766,                0.92407,                0.34363,                0.22538,                0.21228,                0.11311,                 1.5783,                 1.1235,                0.90563,               0.009703,               0.009703,               0.009703
                      6,                 1.5798,                 1.1479,                0.91667,                0.32073,                0.23358,                0.21657,                0.11393,                 1.6069,                 1.0946,                0.90822,               0.009604,               0.009604,               0.009604
                      7,                 1.5447,                 1.1154,                0.91339,                0.33758,                 0.2407,                0.22276,                0.12184,                   1.51,                 1.0857,                0.89581,               0.009505,               0.009505,               0.009505
                      8,                 1.5236,                 1.0896,                0.90752,                0.33926,                0.24056,                0.22879,                0.12296,                 1.5334,                 1.0573,                0.89584,               0.009406,               0.009406,               0.009406
                      9,                 1.4872,                 1.0732,                0.90162,                  0.339,                0.24803,                0.23098,                0.12406,                 1.5104,                 1.0524,                0.89509,               0.009307,               0.009307,               0.009307
                     10,                 1.4762,                 1.0528,                0.90023,                0.34138,                0.25098,                0.23535,                0.12723,                  1.512,                 1.0424,                0.89431,               0.009208,               0.009208,               0.009208
                     11,                 1.4672,                 1.0435,                0.90061,                 0.3819,                0.25186,                0.24718,                0.13679,                 1.4561,                 1.0167,                0.88738,               0.009109,               0.009109,               0.009109
