                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5305,                 1.7802,                 1.0258,                0.35063,                0.28557,                0.26137,                0.15019,                 1.4072,                 1.1737,                0.96112,              0.0033251,              0.0033251,              0.0033251
                      2,                 1.4545,                  1.215,                0.97215,                0.38314,                0.31172,                0.29566,                0.17339,                 1.3879,                 1.1057,                0.95279,              0.0065932,              0.0065932,              0.0065932
                      3,                 1.4856,                 1.1966,                 0.9743,                0.39182,                0.31031,                0.29621,                0.17003,                 1.4433,                 1.1435,                0.96058,              0.0097959,              0.0097959,              0.0097959
                      4,                 1.4763,                 1.1659,                0.97118,                0.40271,                0.33114,                0.31079,                0.18374,                 1.4096,                 1.1348,                0.95704,              0.0097059,              0.0097059,              0.0097059
                      5,                 1.4467,                 1.1242,                0.96423,                0.42765,                 0.3481,                0.33629,                0.19807,                  1.366,                 1.0679,                0.94946,              0.0097059,              0.0097059,              0.0097059
                      6,                 1.4365,                 1.0948,                0.95842,                0.44715,                0.34431,                0.34103,                0.19994,                 1.3519,                 1.0486,                0.94575,              0.0096079,              0.0096079,              0.0096079
                      7,                 1.4022,                 1.0599,                0.95156,                0.43981,                0.34268,                0.33795,                0.19976,                 1.3535,                 1.0478,                0.94468,              0.0095099,              0.0095099,              0.0095099
                      8,                 1.3946,                 1.0469,                0.94706,                 0.4712,                 0.3665,                0.36703,                0.21714,                 1.3316,                 1.0103,                0.93895,              0.0094119,              0.0094119,              0.0094119
                      9,                 1.3739,                 1.0336,                0.94624,                0.45623,                 0.3469,                 0.3518,                   0.21,                 1.3362,                 1.0348,                0.93794,              0.0093139,              0.0093139,              0.0093139
                     10,                 1.3641,                 1.0171,                0.94175,                0.45744,                0.37321,                0.36774,                0.21761,                 1.3199,                  1.003,                0.93387,              0.0092158,              0.0092158,              0.0092158
                     11,                 1.3528,                0.99906,                0.93743,                0.47268,                0.35909,                0.36691,                0.21836,                 1.3125,                0.99993,                0.93106,              0.0091178,              0.0091178,              0.0091178
                     12,                 1.3446,                0.99015,                0.93576,                0.47865,                0.37175,                0.37727,                0.22393,                 1.3078,                0.98104,                0.92953,              0.0090198,              0.0090198,              0.0090198
                     13,                 1.3383,                0.97719,                0.93447,                 0.4816,                0.37987,                0.38192,                0.22591,                 1.3049,                0.98192,                 0.9275,              0.0089218,              0.0089218,              0.0089218
                     14,                 1.3293,                0.96414,                0.93246,                 0.5056,                0.37124,                0.38686,                0.23208,                 1.2957,                0.96629,                0.92442,              0.0088238,              0.0088238,              0.0088238
                     15,                  1.322,                0.95601,                0.92883,                0.49832,                0.38475,                  0.389,                0.23064,                 1.2851,                0.96011,                0.92207,              0.0087257,              0.0087257,              0.0087257
                     16,                  1.323,                0.95362,                0.92915,                0.48094,                0.39121,                0.39696,                0.23816,                  1.278,                0.95278,                0.92444,              0.0086277,              0.0086277,              0.0086277
                     17,                 1.3084,                 0.9398,                0.92625,                 0.4964,                0.38796,                0.39489,                 0.2357,                 1.2789,                0.95025,                0.92295,              0.0085297,              0.0085297,              0.0085297
                     18,                 1.3113,                0.94044,                0.92753,                0.50703,                 0.3837,                0.39715,                0.23867,                  1.272,                0.95327,                0.91854,              0.0084317,              0.0084317,              0.0084317
                     19,                  1.292,                0.92214,                0.92225,                0.49714,                0.39434,                 0.4034,                0.24218,                 1.2734,                0.94479,                0.92189,              0.0083337,              0.0083337,              0.0083337
                     20,                 1.2897,                0.91758,                0.92254,                0.50485,                0.39915,                0.40553,                0.24435,                 1.2697,                0.93323,                0.92066,              0.0082356,              0.0082356,              0.0082356
                     21,                 1.2968,                0.91698,                0.92056,                0.49957,                0.39644,                0.40686,                0.24447,                 1.2691,                0.93217,                0.91778,              0.0081376,              0.0081376,              0.0081376
