                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3962,                 1.4738,                0.99325,                0.43093,                0.32661,                0.33015,                0.19982,                 1.2955,                 1.0421,                 0.9355,              0.0033251,              0.0033251,              0.0033251
                      2,                 1.3494,                 1.0839,                0.95429,                0.45653,                0.35549,                0.35628,                0.21421,                  1.283,                 0.9994,                0.93754,              0.0065932,              0.0065932,              0.0065932
                      3,                 1.3917,                 1.0808,                0.96278,                0.45069,                0.34954,                  0.347,                0.20754,                 1.3179,                 1.0369,                0.95337,              0.0097959,              0.0097959,              0.0097959
                      4,                 1.3915,                 1.0575,                 0.9639,                0.46048,                0.35065,                0.35238,                0.21015,                 1.3083,                 1.0328,                0.94378,              0.0097059,              0.0097059,              0.0097059
                      5,                 1.3617,                 1.0258,                0.95757,                0.48251,                0.36838,                0.37014,                0.22384,                 1.2858,                0.98953,                0.93964,              0.0097059,              0.0097059,              0.0097059
                      6,                  1.348,                0.99358,                0.95233,                0.49788,                0.38445,                0.38825,                0.23348,                 1.2743,                0.96344,                0.93499,              0.0096079,              0.0096079,              0.0096079
                      7,                 1.3173,                0.96372,                0.94537,                0.49398,                0.38477,                0.38912,                0.23762,                 1.2635,                0.96027,                0.93439,              0.0095099,              0.0095099,              0.0095099
                      8,                 1.3105,                0.94825,                0.94299,                0.51037,                0.39529,                0.40822,                0.24573,                 1.2467,                0.93773,                0.93252,              0.0094119,              0.0094119,              0.0094119
                      9,                 1.2897,                0.93199,                0.94141,                0.50696,                0.39525,                0.40119,                0.24135,                 1.2565,                0.94513,                0.93271,              0.0093139,              0.0093139,              0.0093139
                     10,                 1.2807,                0.91796,                0.93846,                0.51596,                0.39936,                0.40476,                0.24557,                 1.2421,                0.92403,                0.93067,              0.0092158,              0.0092158,              0.0092158
                     11,                 1.2686,                0.90155,                0.93412,                0.52409,                0.38783,                0.41224,                0.25023,                 1.2434,                 0.9158,                0.92908,              0.0091178,              0.0091178,              0.0091178
                     12,                 1.2602,                0.89381,                0.93164,                0.52311,                0.41317,                0.42304,                0.25563,                 1.2384,                0.91023,                0.92673,              0.0090198,              0.0090198,              0.0090198
                     13,                 1.2544,                0.87839,                 0.9309,                0.52157,                0.41131,                0.42421,                0.25764,                 1.2272,                0.89409,                0.92387,              0.0089218,              0.0089218,              0.0089218
                     14,                 1.2436,                0.86861,                0.92861,                0.54093,                0.40738,                0.43115,                0.26357,                 1.2155,                 0.8818,                0.91939,              0.0088238,              0.0088238,              0.0088238
                     15,                  1.238,                0.85905,                0.92535,                0.54659,                0.42109,                 0.4377,                0.26582,                 1.2213,                0.88579,                0.92405,              0.0087257,              0.0087257,              0.0087257
                     16,                 1.2383,                0.85561,                0.92434,                0.53783,                0.42666,                0.44471,                0.26961,                 1.2056,                0.87282,                0.92089,              0.0086277,              0.0086277,              0.0086277
                     17,                 1.2249,                0.84341,                0.92289,                0.54587,                0.42079,                 0.4401,                 0.2693,                 1.2079,                0.86985,                0.91951,              0.0085297,              0.0085297,              0.0085297
                     18,                 1.2263,                 0.8397,                0.92419,                0.54804,                0.42194,                0.44591,                0.27309,                 1.2116,                0.87681,                0.92072,              0.0084317,              0.0084317,              0.0084317
                     19,                 1.2086,                0.82582,                0.91908,                0.55947,                  0.433,                0.45749,                0.28106,                 1.2113,                0.85675,                 0.9195,              0.0083337,              0.0083337,              0.0083337
                     20,                 1.2058,                0.81937,                 0.9192,                0.54183,                0.43242,                0.44776,                 0.2754,                 1.1943,                0.85697,                0.91461,              0.0082356,              0.0082356,              0.0082356
                     21,                 1.2103,                0.81768,                0.91703,                0.54957,                0.43134,                0.45306,                0.27779,                    1.2,                0.85565,                 0.9164,              0.0081376,              0.0081376,              0.0081376
                     22,                 1.1965,                0.80652,                0.91596,                0.56807,                0.41533,                0.44139,                0.27243,                 1.2037,                0.86424,                0.91632,              0.0080396,              0.0080396,              0.0080396
                     23,                 1.1961,                  0.801,                0.91484,                0.55789,                0.43264,                0.45727,                0.28023,                 1.1931,                0.85351,                0.91347,              0.0079416,              0.0079416,              0.0079416
                     24,                 1.1836,                0.79591,                0.91114,                0.55491,                0.42196,                0.45101,                0.27808,                   1.19,                0.85073,                 0.9122,              0.0078436,              0.0078436,              0.0078436
                     25,                 1.1815,                0.78822,                0.91278,                0.56269,                0.43861,                0.46474,                0.28443,                 1.1842,                0.83751,                0.91297,              0.0077455,              0.0077455,              0.0077455
                     26,                 1.1806,                0.78398,                0.91199,                0.57618,                0.42989,                0.46352,                0.28581,                 1.1862,                0.84662,                 0.9134,              0.0076475,              0.0076475,              0.0076475
                     27,                 1.1784,                0.78215,                 0.9082,                0.55078,                0.44273,                0.46188,                0.28626,                 1.1859,                0.84094,                0.91235,              0.0075495,              0.0075495,              0.0075495
                     28,                 1.1735,                0.77346,                0.90639,                0.56268,                0.45014,                0.46603,                0.28541,                 1.1953,                0.83633,                0.91408,              0.0074515,              0.0074515,              0.0074515
